Date Time, Water Level, Sigma, I, L 
2012-03-01 00:00,-0.429,0.001,0,0
2012-03-01 01:00,-0.359,0.002,0,0
2012-03-01 02:00,-0.226,0.003,0,0
2012-03-01 03:00,-0.086,0.003,0,0
2012-03-01 04:00,0.126,0.002,0,0
2012-03-01 05:00,0.224,0.001,0,0
2012-03-01 06:00,0.271,0.002,0,0
2012-03-01 07:00,0.295,0.003,0,0
2012-03-01 08:00,0.259,0.005,0,0
2012-03-01 09:00,0.017,0.004,0,0
2012-03-01 10:00,-0.135,0.001,0,0
2012-03-01 11:00,-0.260,0.003,0,0
2012-03-01 12:00,-0.385,0.001,0,0
2012-03-01 13:00,-0.391,0.002,0,0
2012-03-01 14:00,-0.381,0.002,0,0
2012-03-01 15:00,-0.222,0.004,0,0
2012-03-01 16:00,-0.034,0.003,0,0
2012-03-01 17:00,0.054,0.002,0,0
2012-03-01 18:00,0.093,0.002,0,0
2012-03-01 19:00,0.039,0.002,0,0
2012-03-01 20:00,0.037,0.003,0,0
2012-03-01 21:00,-0.054,0.004,0,0
2012-03-01 22:00,-0.166,0.002,0,0
2012-03-01 23:00,-0.330,0.003,0,0
2012-03-02 00:00,-0.410,0.002,0,0
2012-03-02 01:00,-0.458,0.002,0,0
2012-03-02 02:00,-0.437,0.001,0,0
2012-03-02 03:00,-0.285,0.002,0,0
2012-03-02 04:00,-0.096,0.003,0,0
2012-03-02 05:00,0.138,0.002,0,0
2012-03-02 06:00,0.260,0.001,0,0
2012-03-02 07:00,0.308,0.001,0,0
2012-03-02 08:00,0.275,0.001,0,0
2012-03-02 09:00,0.143,0.001,0,0
2012-03-02 10:00,-0.003,0.002,0,0
2012-03-02 11:00,-0.131,0.003,0,0
2012-03-02 12:00,-0.224,0.001,0,0
2012-03-02 13:00,-0.320,0.001,0,0
2012-03-02 14:00,-0.334,0.000,0,0
2012-03-02 15:00,-0.244,0.002,0,0
2012-03-02 16:00,-0.124,0.002,0,0
2012-03-02 17:00,0.039,0.002,0,0
2012-03-02 18:00,0.184,0.002,0,0
2012-03-02 19:00,0.255,0.004,0,0
2012-03-02 20:00,0.246,0.001,0,0
2012-03-02 21:00,0.127,0.003,0,0
2012-03-02 22:00,0.057,0.001,0,0
2012-03-02 23:00,-0.076,0.001,0,0
2012-03-03 00:00,-0.206,0.002,0,0
2012-03-03 01:00,-0.280,0.001,0,0
2012-03-03 02:00,-0.329,0.001,0,0
2012-03-03 03:00,-0.269,0.002,0,0
2012-03-03 04:00,-0.062,0.003,0,0
2012-03-03 05:00,0.147,0.003,0,0
2012-03-03 06:00,0.297,0.001,0,0
2012-03-03 07:00,0.439,0.001,0,0
2012-03-03 08:00,0.494,0.001,0,0
2012-03-03 09:00,0.448,0.001,0,0
2012-03-03 10:00,0.314,0.003,0,0
2012-03-03 11:00,0.183,0.002,0,0
2012-03-03 12:00,0.078,0.003,0,0
2012-03-03 13:00,-0.087,0.003,0,0
2012-03-03 14:00,-0.198,0.002,0,0
2012-03-03 15:00,-0.291,0.001,0,0
2012-03-03 16:00,-0.192,0.004,0,0
2012-03-03 17:00,-0.055,0.002,0,0
2012-03-03 18:00,0.088,0.003,0,0
2012-03-03 19:00,0.264,0.002,0,0
2012-03-03 20:00,0.265,0.002,0,0
2012-03-03 21:00,0.260,0.001,0,0
2012-03-03 22:00,0.116,0.005,0,0
2012-03-03 23:00,0.075,0.002,0,0
2012-03-04 00:00,0.004,0.002,0,0
2012-03-04 01:00,-0.158,0.001,0,0
2012-03-04 02:00,-0.306,0.001,0,0
2012-03-04 03:00,-0.321,0.004,0,0
2012-03-04 04:00,-0.193,0.002,0,0
2012-03-04 05:00,0.021,0.006,0,0
2012-03-04 06:00,0.275,0.005,0,0
2012-03-04 07:00,0.488,0.001,0,0
2012-03-04 08:00,0.550,0.003,0,0
2012-03-04 09:00,0.534,0.002,0,0
2012-03-04 10:00,0.398,0.003,0,0
2012-03-04 11:00,0.250,0.006,0,0
2012-03-04 12:00,0.251,0.004,0,0
2012-03-04 13:00,0.139,0.002,0,0
2012-03-04 14:00,0.009,0.002,0,0
2012-03-04 15:00,-0.060,0.002,0,0
2012-03-04 16:00,-0.131,0.002,0,0
2012-03-04 17:00,-0.156,0.005,0,0
2012-03-04 18:00,-0.040,0.002,0,0
2012-03-04 19:00,0.230,0.009,0,0
2012-03-04 20:00,0.449,0.001,0,0
2012-03-04 21:00,0.542,0.001,0,0
2012-03-04 22:00,0.515,0.002,0,0
2012-03-04 23:00,0.483,0.003,0,0
2012-03-05 00:00,0.215,0.004,0,0
2012-03-05 01:00,-0.096,0.004,0,0
2012-03-05 02:00,-0.151,0.005,0,0
2012-03-05 03:00,-0.409,0.001,0,0
2012-03-05 04:00,-0.384,0.002,0,0
2012-03-05 05:00,-0.206,0.003,0,0
2012-03-05 06:00,-0.083,0.004,0,0
2012-03-05 07:00,0.167,0.004,0,0
2012-03-05 08:00,0.341,0.002,0,0
2012-03-05 09:00,0.474,0.002,0,0
2012-03-05 10:00,0.567,0.001,0,0
2012-03-05 11:00,0.567,0.002,0,0
2012-03-05 12:00,0.452,0.004,0,0
2012-03-05 13:00,0.257,0.003,0,0
2012-03-05 14:00,0.062,0.004,0,0
2012-03-05 15:00,-0.014,0.004,0,0
2012-03-05 16:00,-0.129,0.007,0,0
2012-03-05 17:00,-0.136,0.005,0,0
2012-03-05 18:00,-0.195,0.004,0,0
2012-03-05 19:00,-0.260,0.004,0,0
2012-03-05 20:00,-0.127,0.004,0,0
2012-03-05 21:00,0.063,0.003,0,0
2012-03-05 22:00,0.200,0.003,0,0
2012-03-05 23:00,0.255,0.002,0,0
2012-03-06 00:00,0.098,0.003,0,0
2012-03-06 01:00,-0.099,0.005,0,0
2012-03-06 02:00,-0.360,0.002,0,0
2012-03-06 03:00,-0.596,0.003,0,0
2012-03-06 04:00,-0.672,0.001,0,0
2012-03-06 05:00,-0.612,0.002,0,0
2012-03-06 06:00,-0.388,0.003,0,0
2012-03-06 07:00,-0.205,0.003,0,0
2012-03-06 08:00,0.003,0.004,0,0
2012-03-06 09:00,0.212,0.002,0,0
2012-03-06 10:00,0.408,0.002,0,0
2012-03-06 11:00,0.457,0.000,0,0
2012-03-06 12:00,0.402,0.001,0,0
2012-03-06 13:00,0.151,0.003,0,0
2012-03-06 14:00,-0.123,0.005,0,0
2012-03-06 15:00,-0.366,0.005,0,0
2012-03-06 16:00,-0.525,0.001,0,0
2012-03-06 17:00,-0.561,0.002,0,0
2012-03-06 18:00,-0.491,0.002,0,0
2012-03-06 19:00,-0.348,0.002,0,0
2012-03-06 20:00,-0.091,0.004,0,0
2012-03-06 21:00,0.156,0.003,0,0
2012-03-06 22:00,0.356,0.003,0,0
2012-03-06 23:00,0.479,0.001,0,0
2012-03-07 00:00,0.459,0.002,0,0
2012-03-07 01:00,0.214,0.003,0,0
2012-03-07 02:00,-0.061,0.004,0,0
2012-03-07 03:00,-0.334,0.003,0,0
2012-03-07 04:00,-0.557,0.002,0,0
2012-03-07 05:00,-0.687,0.001,0,0
2012-03-07 06:00,-0.690,0.001,0,0
2012-03-07 07:00,-0.523,0.003,0,0
2012-03-07 08:00,-0.244,0.005,0,0
2012-03-07 09:00,0.040,0.004,0,0
2012-03-07 10:00,0.282,0.002,0,0
2012-03-07 11:00,0.409,0.001,0,0
2012-03-07 12:00,0.427,0.000,0,0
2012-03-07 13:00,0.262,0.003,0,0
2012-03-07 14:00,0.013,0.003,0,0
2012-03-07 15:00,-0.238,0.002,0,0
2012-03-07 16:00,-0.485,0.003,0,0
2012-03-07 17:00,-0.676,0.002,0,0
2012-03-07 18:00,-0.762,0.000,0,0
2012-03-07 19:00,-0.653,0.000,1,0
2012-03-07 20:00,-0.382,0.003,0,0
2012-03-07 21:00,-0.090,0.004,0,0
2012-03-07 22:00,0.190,0.004,0,0
2012-03-07 23:00,0.375,0.001,0,0
2012-03-08 00:00,0.452,0.000,0,0
2012-03-08 01:00,0.330,0.003,0,0
2012-03-08 02:00,0.070,0.003,0,0
2012-03-08 03:00,-0.196,0.003,0,0
2012-03-08 04:00,-0.471,0.003,0,0
2012-03-08 05:00,-0.695,0.002,0,0
2012-03-08 06:00,-0.779,0.001,0,0
2012-03-08 07:00,-0.720,0.003,0,0
2012-03-08 08:00,-0.467,0.003,0,0
2012-03-08 09:00,-0.186,0.004,0,0
2012-03-08 10:00,0.082,0.003,0,0
2012-03-08 11:00,0.332,0.002,0,0
2012-03-08 12:00,0.488,0.001,0,0
2012-03-08 13:00,0.486,0.001,0,0
2012-03-08 14:00,0.277,0.004,0,0
2012-03-08 15:00,-0.037,0.004,0,0
2012-03-08 16:00,-0.341,0.004,0,0
2012-03-08 17:00,-0.598,0.003,0,0
2012-03-08 18:00,-0.766,0.001,0,0
2012-03-08 19:00,-0.788,0.001,0,0
2012-03-08 20:00,-0.596,0.004,0,0
2012-03-08 21:00,-0.322,0.004,0,0
2012-03-08 22:00,-0.043,0.003,0,0
2012-03-08 23:00,0.224,0.003,0,0
2012-03-09 00:00,0.416,0.001,0,0
2012-03-09 01:00,0.497,0.001,0,0
2012-03-09 02:00,0.391,0.003,0,0
2012-03-09 03:00,0.115,0.004,0,0
2012-03-09 04:00,-0.181,0.003,0,0
2012-03-09 05:00,-0.477,0.004,0,0
2012-03-09 06:00,-0.753,0.002,0,0
2012-03-09 07:00,-0.826,0.001,0,0
2012-03-09 08:00,-0.702,0.003,0,0
2012-03-09 09:00,-0.455,0.004,0,0
2012-03-09 10:00,-0.142,0.004,0,0
2012-03-09 11:00,0.144,0.003,0,0
2012-03-09 12:00,0.368,0.002,0,0
2012-03-09 13:00,0.473,0.001,0,0
2012-03-09 14:00,0.430,0.002,0,0
2012-03-09 15:00,0.177,0.004,0,0
2012-03-09 16:00,-0.115,0.004,0,0
2012-03-09 17:00,-0.414,0.004,0,0
2012-03-09 18:00,-0.703,0.004,0,0
2012-03-09 19:00,-0.929,0.002,0,0
2012-03-09 20:00,-0.917,0.003,0,0
2012-03-09 21:00,-0.709,0.006,0,0
2012-03-09 22:00,-0.315,0.005,0,0
2012-03-09 23:00,0.030,0.005,0,0
2012-03-10 00:00,0.361,0.004,0,0
2012-03-10 01:00,0.568,0.001,0,0
2012-03-10 02:00,0.560,0.001,0,0
2012-03-10 03:00,0.411,0.005,0,0
2012-03-10 04:00,0.151,0.003,0,0
2012-03-10 05:00,-0.121,0.004,0,0
2012-03-10 06:00,-0.417,0.004,0,0
2012-03-10 07:00,-0.624,0.002,0,0
2012-03-10 08:00,-0.705,0.001,0,0
2012-03-10 09:00,-0.595,0.003,0,0
2012-03-10 10:00,-0.365,0.004,0,0
2012-03-10 11:00,-0.052,0.004,0,0
2012-03-10 12:00,0.210,0.003,0,0
2012-03-10 13:00,0.406,0.002,0,0
2012-03-10 14:00,0.466,0.003,0,0
2012-03-10 15:00,0.365,0.004,0,0
2012-03-10 16:00,0.101,0.004,0,0
2012-03-10 17:00,-0.160,0.004,0,0
2012-03-10 18:00,-0.437,0.004,0,0
2012-03-10 19:00,-0.680,0.003,0,0
2012-03-10 20:00,-0.786,0.002,0,0
2012-03-10 21:00,-0.699,0.003,0,0
2012-03-10 22:00,-0.454,0.004,0,0
2012-03-10 23:00,-0.166,0.004,0,0
2012-03-11 00:00,0.150,0.004,0,0
2012-03-11 01:00,0.425,0.002,0,0
2012-03-11 02:00,0.585,0.001,0,0
2012-03-11 03:00,0.600,0.001,0,0
2012-03-11 04:00,0.423,0.003,0,0
2012-03-11 05:00,0.123,0.003,0,0
2012-03-11 06:00,-0.158,0.004,0,0
2012-03-11 07:00,-0.451,0.004,0,0
2012-03-11 08:00,-0.649,0.001,0,0
2012-03-11 09:00,-0.704,0.000,0,0
2012-03-11 10:00,-0.620,0.002,0,0
2012-03-11 11:00,-0.364,0.003,0,0
2012-03-11 12:00,-0.064,0.004,0,0
2012-03-11 13:00,0.218,0.003,0,0
2012-03-11 14:00,0.390,0.001,0,0
2012-03-11 15:00,0.417,0.000,0,0
2012-03-11 16:00,0.258,0.003,0,0
2012-03-11 17:00,-0.003,0.003,0,0
2012-03-11 18:00,-0.281,0.003,0,0
2012-03-11 19:00,-0.538,0.003,0,0
2012-03-11 20:00,-0.732,0.001,0,0
2012-03-11 21:00,-0.787,0.000,0,0
2012-03-11 22:00,-0.663,0.003,0,0
2012-03-11 23:00,-0.402,0.004,0,0
2012-03-12 00:00,-0.084,0.004,0,0
2012-03-12 01:00,0.207,0.003,0,0
2012-03-12 02:00,0.436,0.002,0,0
2012-03-12 03:00,0.567,0.000,0,0
2012-03-12 04:00,0.572,0.001,0,0
2012-03-12 05:00,0.368,0.004,0,0
2012-03-12 06:00,0.088,0.004,0,0
2012-03-12 07:00,-0.203,0.004,0,0
2012-03-12 08:00,-0.469,0.003,0,0
2012-03-12 09:00,-0.630,0.001,0,0
2012-03-12 10:00,-0.680,0.002,0,0
2012-03-12 11:00,-0.521,0.002,0,0
2012-03-12 12:00,-0.296,0.003,0,0
2012-03-12 13:00,-0.032,0.005,0,0
2012-03-12 14:00,0.223,0.003,0,0
2012-03-12 15:00,0.368,0.001,0,0
2012-03-12 16:00,0.396,0.001,0,0
2012-03-12 17:00,0.234,0.004,0,0
2012-03-12 18:00,-0.028,0.003,0,0
2012-03-12 19:00,-0.294,0.003,0,0
2012-03-12 20:00,-0.524,0.002,0,0
2012-03-12 21:00,-0.653,0.001,0,0
2012-03-12 22:00,-0.681,0.000,0,0
2012-03-12 23:00,-0.553,0.003,0,0
2012-03-13 00:00,-0.335,0.003,0,0
2012-03-13 01:00,-0.066,0.004,0,0
2012-03-13 02:00,0.218,0.003,0,0
2012-03-13 03:00,0.454,0.002,0,0
2012-03-13 04:00,0.564,0.000,0,0
2012-03-13 05:00,0.555,0.001,0,0
2012-03-13 06:00,0.343,0.004,0,0
2012-03-13 07:00,0.081,0.003,0,0
2012-03-13 08:00,-0.175,0.003,0,0
2012-03-13 09:00,-0.410,0.003,0,0
2012-03-13 10:00,-0.551,0.001,0,0
2012-03-13 11:00,-0.580,0.000,0,0
2012-03-13 12:00,-0.500,0.002,0,0
2012-03-13 13:00,-0.284,0.003,0,0
2012-03-13 14:00,-0.044,0.002,0,0
2012-03-13 15:00,0.172,0.003,0,0
2012-03-13 16:00,0.292,0.001,0,0
2012-03-13 17:00,0.283,0.001,0,0
2012-03-13 18:00,0.130,0.003,0,0
2012-03-13 19:00,-0.096,0.003,0,0
2012-03-13 20:00,-0.303,0.003,0,0
2012-03-13 21:00,-0.505,0.002,0,0
2012-03-13 22:00,-0.637,0.001,0,0
2012-03-13 23:00,-0.663,0.001,0,0
2012-03-14 00:00,-0.574,0.002,0,0
2012-03-14 01:00,-0.374,0.003,0,0
2012-03-14 02:00,-0.099,0.003,0,0
2012-03-14 03:00,0.168,0.003,0,0
2012-03-14 04:00,0.374,0.001,0,0
2012-03-14 05:00,0.473,0.001,0,0
2012-03-14 06:00,0.456,0.002,0,0
2012-03-14 07:00,0.263,0.003,0,0
2012-03-14 08:00,0.026,0.003,0,0
2012-03-14 09:00,-0.214,0.004,0,0
2012-03-14 10:00,-0.428,0.002,0,0
2012-03-14 11:00,-0.554,0.002,0,0
2012-03-14 12:00,-0.583,0.000,0,0
2012-03-14 13:00,-0.521,0.002,0,0
2012-03-14 14:00,-0.318,0.003,0,0
2012-03-14 15:00,-0.094,0.003,0,0
2012-03-14 16:00,0.106,0.002,0,0
2012-03-14 17:00,0.214,0.001,0,0
2012-03-14 18:00,0.224,0.001,0,0
2012-03-14 19:00,0.090,0.002,0,0
2012-03-14 20:00,-0.094,0.003,0,0
2012-03-14 21:00,-0.290,0.002,0,0
2012-03-14 22:00,-0.473,0.002,0,0
2012-03-14 23:00,-0.606,0.001,0,0
2012-03-15 00:00,-0.651,0.001,0,0
2012-03-15 01:00,-0.559,0.002,0,0
2012-03-15 02:00,-0.367,0.003,0,0
2012-03-15 03:00,-0.099,0.003,0,0
2012-03-15 04:00,0.169,0.003,0,0
2012-03-15 05:00,0.355,0.002,0,0
2012-03-15 06:00,0.454,0.000,0,0
2012-03-15 07:00,0.433,0.001,0,0
2012-03-15 08:00,0.267,0.003,0,0
2012-03-15 09:00,0.065,0.003,0,0
2012-03-15 10:00,-0.155,0.002,0,0
2012-03-15 11:00,-0.369,0.002,0,0
2012-03-15 12:00,-0.511,0.002,0,0
2012-03-15 13:00,-0.558,0.000,0,0
2012-03-15 14:00,-0.485,0.002,0,0
2012-03-15 15:00,-0.307,0.002,0,0
2012-03-15 16:00,-0.085,0.003,0,0
2012-03-15 17:00,0.109,0.002,0,0
2012-03-15 18:00,0.211,0.001,0,0
2012-03-15 19:00,0.207,0.001,0,0
2012-03-15 20:00,0.087,0.001,0,0
2012-03-15 21:00,-0.082,0.003,0,0
2012-03-15 22:00,-0.253,0.003,0,0
2012-03-15 23:00,-0.425,0.002,0,0
2012-03-16 00:00,-0.572,0.001,0,0
2012-03-16 01:00,-0.641,0.000,0,0
2012-03-16 02:00,-0.577,0.002,0,0
2012-03-16 03:00,-0.388,0.003,0,0
2012-03-16 04:00,-0.124,0.004,0,0
2012-03-16 05:00,0.130,0.003,0,0
2012-03-16 06:00,0.296,0.001,0,0
2012-03-16 07:00,0.378,0.000,0,0
2012-03-16 08:00,0.381,0.001,0,0
2012-03-16 09:00,0.236,0.003,0,0
2012-03-16 10:00,0.039,0.003,0,0
2012-03-16 11:00,-0.179,0.003,0,0
2012-03-16 12:00,-0.368,0.002,0,0
2012-03-16 13:00,-0.515,0.001,0,0
2012-03-16 14:00,-0.564,0.001,0,0
2012-03-16 15:00,-0.508,0.002,0,0
2012-03-16 16:00,-0.335,0.002,0,0
2012-03-16 17:00,-0.105,0.004,0,0
2012-03-16 18:00,0.085,0.003,0,0
2012-03-16 19:00,0.209,0.002,0,0
2012-03-16 20:00,0.245,0.001,0,0
2012-03-16 21:00,0.187,0.002,0,0
2012-03-16 22:00,0.029,0.003,0,0
2012-03-16 23:00,-0.158,0.002,0,0
2012-03-17 00:00,-0.339,0.002,0,0
2012-03-17 01:00,-0.500,0.002,0,0
2012-03-17 02:00,-0.570,0.001,0,0
2012-03-17 03:00,-0.513,0.001,0,0
2012-03-17 04:00,-0.339,0.003,0,0
2012-03-17 05:00,-0.104,0.003,0,0
2012-03-17 06:00,0.138,0.003,0,0
2012-03-17 07:00,0.317,0.002,0,0
2012-03-17 08:00,0.437,0.001,0,0
2012-03-17 09:00,0.443,0.001,0,0
2012-03-17 10:00,0.319,0.003,0,0
2012-03-17 11:00,0.115,0.002,0,0
2012-03-17 12:00,-0.079,0.003,0,0
2012-03-17 13:00,-0.297,0.003,0,0
2012-03-17 14:00,-0.459,0.001,0,0
2012-03-17 15:00,-0.513,0.001,0,0
2012-03-17 16:00,-0.447,0.002,0,0
2012-03-17 17:00,-0.261,0.003,0,0
2012-03-17 18:00,-0.031,0.003,0,0
2012-03-17 19:00,0.175,0.002,0,0
2012-03-17 20:00,0.279,0.001,0,0
2012-03-17 21:00,0.329,0.001,0,0
2012-03-17 22:00,0.267,0.002,0,0
2012-03-17 23:00,0.126,0.002,0,0
2012-03-18 00:00,-0.050,0.003,0,0
2012-03-18 01:00,-0.267,0.002,0,0
2012-03-18 02:00,-0.426,0.002,0,0
2012-03-18 03:00,-0.529,0.001,0,0
2012-03-18 04:00,-0.481,0.002,0,0
2012-03-18 05:00,-0.286,0.003,0,0
2012-03-18 06:00,-0.048,0.003,0,0
2012-03-18 07:00,0.191,0.003,0,0
2012-03-18 08:00,0.376,0.002,0,0
2012-03-18 09:00,0.500,0.001,0,0
2012-03-18 10:00,0.491,0.001,0,0
2012-03-18 11:00,0.376,0.002,0,0
2012-03-18 12:00,0.160,0.004,0,0
2012-03-18 13:00,-0.056,0.003,0,0
2012-03-18 14:00,-0.281,0.003,0,0
2012-03-18 15:00,-0.452,0.002,0,0
2012-03-18 16:00,-0.489,0.000,0,0
2012-03-18 17:00,-0.411,0.003,0,0
2012-03-18 18:00,-0.227,0.003,0,0
2012-03-18 19:00,-0.011,0.002,0,0
2012-03-18 20:00,0.173,0.002,0,0
2012-03-18 21:00,0.328,0.001,0,0
2012-03-18 22:00,0.403,0.001,0,0
2012-03-18 23:00,0.347,0.001,0,0
2012-03-19 00:00,0.135,0.004,0,0
2012-03-19 01:00,-0.088,0.003,0,0
2012-03-19 02:00,-0.321,0.003,0,0
2012-03-19 03:00,-0.478,0.000,0,0
2012-03-19 04:00,-0.534,0.001,0,0
2012-03-19 05:00,-0.497,0.001,0,0
2012-03-19 06:00,-0.292,0.003,0,0
2012-03-19 07:00,-0.071,0.003,0,0
2012-03-19 08:00,0.173,0.003,0,0
2012-03-19 09:00,0.374,0.002,0,0
2012-03-19 10:00,0.481,0.001,0,0
2012-03-19 11:00,0.485,0.001,0,0
2012-03-19 12:00,0.309,0.003,0,0
2012-03-19 13:00,0.082,0.003,0,0
2012-03-19 14:00,-0.161,0.003,0,0
2012-03-19 15:00,-0.380,0.002,0,0
2012-03-19 16:00,-0.531,0.001,0,0
2012-03-19 17:00,-0.526,0.001,0,0
2012-03-19 18:00,-0.406,0.001,0,0
2012-03-19 19:00,-0.197,0.003,0,0
2012-03-19 20:00,0.031,0.003,0,0
2012-03-19 21:00,0.258,0.003,0,0
2012-03-19 22:00,0.392,0.001,0,0
2012-03-19 23:00,0.424,0.001,0,0
2012-03-20 00:00,0.304,0.001,0,0
2012-03-20 01:00,0.107,0.003,0,0
2012-03-20 02:00,-0.125,0.003,0,0
2012-03-20 03:00,-0.358,0.003,0,0
2012-03-20 04:00,-0.513,0.002,0,0
2012-03-20 05:00,-0.579,0.000,0,0
2012-03-20 06:00,-0.508,0.002,0,0
2012-03-20 07:00,-0.305,0.003,0,0
2012-03-20 08:00,-0.046,0.003,0,0
2012-03-20 09:00,0.194,0.003,0,0
2012-03-20 10:00,0.381,0.002,0,0
2012-03-20 11:00,0.456,0.000,0,0
2012-03-20 12:00,0.431,0.002,0,0
2012-03-20 13:00,0.215,0.004,0,0
2012-03-20 14:00,-0.036,0.004,0,0
2012-03-20 15:00,-0.288,0.003,0,0
2012-03-20 16:00,-0.481,0.003,0,0
2012-03-20 17:00,-0.581,0.001,0,0
2012-03-20 18:00,-0.546,0.001,0,0
2012-03-20 19:00,-0.414,0.003,0,0
2012-03-20 20:00,-0.145,0.004,0,0
2012-03-20 21:00,0.098,0.003,0,0
2012-03-20 22:00,0.311,0.002,0,0
2012-03-20 23:00,0.434,0.001,0,0
2012-03-21 00:00,0.453,0.001,0,0
2012-03-21 01:00,0.293,0.003,0,0
2012-03-21 02:00,0.055,0.003,0,0
2012-03-21 03:00,-0.191,0.003,0,0
2012-03-21 04:00,-0.431,0.003,0,0
2012-03-21 05:00,-0.586,0.001,0,0
2012-03-21 06:00,-0.627,0.001,0,0
2012-03-21 07:00,-0.527,0.003,0,0
2012-03-21 08:00,-0.299,0.003,0,0
